name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
旅游集散中心,0,331794339,,yes,bus_station,,,"POLYGON ((120.203492 30.2937314, 120.2035458 30.2936683, 120.2042291 30.2928677, 120.205193 30.2935044, 120.2044539 30.294356, 120.203492 30.2937314))",POINT (120.2043419 30.2936139),13760.6,148117.3
濮家小学万家校区,1,389019754,,,school,,,"POLYGON ((120.1972269 30.2871411, 120.1973157 30.2865202, 120.198246 30.2866018, 120.198698 30.2866527, 120.1987587 30.2866535, 120.1986401 30.2873631, 120.1972269 30.2871411))",POINT (120.1980012 30.2869202),10339.6,111294
,2,516278117,,,parking,,,"POLYGON ((120.2036555 30.28891, 120.2042987 30.2890121, 120.2045631 30.2890408, 120.2050485 30.2890997, 120.2055869 30.2891916, 120.2055539 30.2893594, 120.2058876 30.2894036, 120.2048086 30.2906594, 120.2045444 30.2904965, 120.2045154 30.2904932, 120.2044756 30.2904945, 120.2044364 30.2905064, 120.2042668 30.290676, 120.204315 30.290712, 120.2036228 30.291382, 120.2035778 30.291348, 120.2035461 30.2913659, 120.2035143 30.2913838, 120.2034721 30.2913707, 120.2034373 30.2913476, 120.2033907 30.2913879, 120.2032705 30.2912926, 120.2033118 30.2912528, 120.2031195 30.2911029, 120.2030782 30.2911455, 120.2024889 30.2907068, 120.2025397 30.2906581, 120.2025067 30.2906337, 120.2025041 30.2906024, 120.2025158 30.2905689, 120.203086 30.2899738, 120.2031313 30.289954, 120.2031743 30.2899742, 120.2040124 30.2906515, 120.2040936 30.2906864, 120.2041421 30.2906925, 120.2041904 30.2906538, 120.2043876 30.2904677, 120.2043897 30.2904325, 120.2043837 30.2903974, 120.204256 30.2903187, 120.2039539 30.2899254, 120.2034032 30.2891059, 120.2034953 30.2888955, 120.2036555 30.28891))",POINT (120.2041512 30.2900267),39619.4,426458.8
新风,3,516278120,,train_station,,,,"POLYGON ((120.203795 30.2902925, 120.2039933 30.2902008, 120.2032195 30.2890407, 120.2025969 30.2893432, 120.2024415 30.289531, 120.2023481 30.2896437, 120.2023706 30.2896602, 120.2024009 30.28968, 120.2024965 30.2895666, 120.2025323 30.2895241, 120.2025633 30.2894872, 120.2026443 30.2893912, 120.2030572 30.2891853, 120.2034247 30.2897348, 120.2033153 30.2897916, 120.2035285 30.2901263, 120.2035825 30.2900987, 120.2033996 30.2898114, 120.2034551 30.2897801, 120.203795 30.2902925))",POINT (120.2033855 30.2896452),4057.5,43674.6
火车东站东,4,516302962,,,bus_station,,,"POLYGON ((120.2111532 30.2944259, 120.2117368 30.2937287, 120.2116707 30.2936875, 120.2121135 30.2931584, 120.2128838 30.2936391, 120.2124399 30.2941695, 120.2125608 30.2942449, 120.2119784 30.2949408, 120.2112165 30.2944654, 120.2111532 30.2944259))",POINT (120.2120315 30.2940563),15940.3,171580.1
杭州萧山国际机场火车东站航站楼,5,516302963,,yes,bus_station,,,"POLYGON ((120.2095359 30.2966133, 120.2103695 30.297104, 120.2107891 30.2965725, 120.2099556 30.2960819, 120.2095359 30.2966133))",POINT (120.2101625 30.2965929),6914.4,74426.1
杭州濮家小学教育集团(笕新校区),6,519353737,,,school,,,"POLYGON ((120.1984813 30.3005162, 120.1995569 30.2993192, 120.200192 30.299795, 120.2002387 30.2999079, 120.20022 30.2999724, 120.1990338 30.3009488, 120.1984813 30.3005162))",POINT (120.1993731 30.3001423),14136.4,152163
,7,528160202,,,,pitch,,"POLYGON ((120.2003734 30.2866228, 120.2004466 30.2857241, 120.2005848 30.2856047, 120.20078 30.2855626, 120.2011355 30.2855977, 120.2010239 30.2866369, 120.2009263 30.2867141, 120.200758 30.2867489, 120.2005166 30.2867258, 120.2003734 30.2866228))",POINT (120.2007492 30.2861507),7895.7,84988
杭州东,8,533803773,,train_station,,,,"POLYGON ((120.2097369 30.2960334, 120.2087405 30.2954152, 120.20597 30.2936393, 120.2058858 30.2935982, 120.205615 30.2934269, 120.20554 30.2934357, 120.2061336 30.2927117, 120.2064475 30.2923329, 120.2067279 30.2920028, 120.206776 30.2919493, 120.2073076 30.2913529, 120.2073443 30.2913233, 120.2074258 30.2913749, 120.2076538 30.291519, 120.2077406 30.2915695, 120.2105002 30.2933233, 120.2115019 30.2939524, 120.2105727 30.2950479, 120.2105452 30.2950614, 120.2097369 30.2960334))",POINT (120.2085306 30.2936726),142249.1,1531154.8
,9,533803775,,roof,,,,"POLYGON ((120.20597 30.2936393, 120.2055954 30.294075, 120.2054271 30.2942707, 120.2054895 30.2943107, 120.2055223 30.2943582, 120.2056286 30.2944317, 120.2063277 30.2948533, 120.2068597 30.2951869, 120.2074118 30.2955304, 120.2078556 30.2958142, 120.2077107 30.2959853, 120.2080851 30.2962092, 120.2087405 30.2954152, 120.20597 30.2936393))",POINT (120.2071057 30.294878),30012.8,323054.8
,10,533803777,,roof,,,,"POLYGON ((120.2077406 30.2915695, 120.208246 30.2909765, 120.2096615 30.2918503, 120.2102026 30.2921968, 120.210682 30.2925057, 120.2108334 30.2923241, 120.2111662 30.292542, 120.2105002 30.2933233, 120.2077406 30.2915695))",POINT (120.2094357 30.2921601),28374.8,305423.4
,11,533803779,,yes,,,,"POLYGON ((120.2110287 30.2935411, 120.2107156 30.2933332, 120.211142 30.292827, 120.2114561 30.2930365, 120.2110287 30.2935411))",POINT (120.2110857 30.2931842),2638.3,28398.6
,12,533803781,,yes,,,,"POLYGON ((120.2084067 30.296034, 120.2087671 30.2962634, 120.2091812 30.2957583, 120.2088248 30.2955271, 120.2084067 30.296034))",POINT (120.2087946 30.2958958),2953.6,31791.8
,13,533803783,,yes,,,,"POLYGON ((120.2073009 30.29095, 120.2063577 30.2903408, 120.2064002 30.2902867, 120.2069215 30.2896227, 120.2071219 30.2893675, 120.207205 30.2892616, 120.2082172 30.2898608, 120.2073009 30.29095))",POINT (120.2072759 30.2901012),16973.4,182700.4
火车东站西,14,533803795,,no,bus_station,,,"POLYGON ((120.2067211 30.2916343, 120.2066599 30.2915815, 120.2066358 30.2915267, 120.2066358 30.2914871, 120.2067102 30.2913455, 120.2067692 30.2912813, 120.2075957 30.2903354, 120.20767 30.2902882, 120.20774 30.2902826, 120.2077968 30.2902826, 120.2078799 30.2903373, 120.2079368 30.2903883, 120.207939 30.2904581, 120.2078559 30.2905507, 120.2070731 30.2914437, 120.2069179 30.2915985, 120.2068698 30.2916381, 120.2068195 30.2916513, 120.2067211 30.2916343))",POINT (120.2072784 30.2909558),5958.9,64140.5
,15,533803798,,,parking,,,"POLYGON ((120.2079834 30.2902208, 120.2081204 30.2902997, 120.2083944 30.289949, 120.2082526 30.2898639, 120.2079834 30.2902208))",POINT (120.2081887 30.2900819),762.9,8211.8
,16,533926122,,yes,,,,"POLYGON ((120.2014299 30.2916678, 120.2031336 30.2927543, 120.2032002 30.2926818, 120.2033215 30.2925497, 120.202902 30.2922778, 120.2026972 30.292145, 120.2022694 30.2918678, 120.2020971 30.2917561, 120.2016437 30.2914623, 120.2016179 30.2914455, 120.2015566 30.2915161, 120.2014871 30.2914737, 120.2014299 30.2915443, 120.2014871 30.2915902, 120.2014299 30.2916678))",POINT (120.202356 30.2920915),6155.5,66257.6
,17,533926123,,apartments,,,,"POLYGON ((120.2015284 30.2916099, 120.201976 30.2918886, 120.2020971 30.2917561, 120.2016437 30.2914623, 120.2015284 30.2916099))",POINT (120.2018096 30.2916776),1032.9,11117.8
,18,533926124,,apartments,,,,"POLYGON ((120.202174 30.2920151, 120.2025782 30.2922774, 120.2026972 30.292145, 120.2022694 30.2918678, 120.2022038 30.2919331, 120.2022255 30.2919565, 120.202174 30.2920151))",POINT (120.2024293 30.2920745),933.2,10044.9
,19,533926125,,apartments,,,,"POLYGON ((120.2028142 30.292432, 120.2032002 30.2926818, 120.2033215 30.2925497, 120.202902 30.2922778, 120.202844 30.2923406, 120.2028738 30.2923617, 120.2028142 30.292432))",POINT (120.2030602 30.2924837),905.4,9745.6
,20,533926126,,apartments,,,,"POLYGON ((120.2010414 30.292118, 120.2011156 30.2921298, 120.2013669 30.2921694, 120.2013914 30.2920455, 120.2013346 30.2920372, 120.2010624 30.2919972, 120.2010414 30.292118))",POINT (120.2012163 30.2920826),438.8,4723.5
,21,533926127,,apartments,,,,"POLYGON ((120.2015944 30.292381, 120.2020074 30.2924777, 120.2020459 30.2923628, 120.2016364 30.2922631, 120.2015944 30.292381))",POINT (120.20182 30.292371),552.2,5944.1
,22,533926128,,apartments,,,,"POLYGON ((120.2020879 30.2926953, 120.2025149 30.292795, 120.2025568 30.292662, 120.2021229 30.2925714, 120.2020879 30.2926953))",POINT (120.2023234 30.2926814),628.2,6761.7
,23,533926129,,apartments,,,,"POLYGON ((120.2025673 30.2930156, 120.2029103 30.2932453, 120.2030013 30.2931425, 120.2026548 30.2929189, 120.2025673 30.2930156))",POINT (120.2027849 30.2930816),582,6264.7
,24,533926130,,yes,,,,"POLYGON ((120.2007964 30.292248, 120.2008209 30.2922812, 120.2009539 30.2923175, 120.2011156 30.2921298, 120.2010414 30.292118, 120.2010624 30.2919972, 120.2013346 30.2920372, 120.2013494 30.2919428, 120.2010834 30.2919005, 120.2007964 30.292248))",POINT (120.2010453 30.2920965),837,9008.9
,25,579229837,,yes,,,,"POLYGON ((120.2045762 30.2928346, 120.204481 30.2927837, 120.2045376 30.2927035, 120.2046329 30.2927544, 120.2045762 30.2928346))",POINT (120.2045569 30.292769),112.1,1207
,26,579229838,,yes,,,,"POLYGON ((120.2048006 30.2928209, 120.204719 30.292772, 120.204787 30.2926898, 120.2048686 30.2927406, 120.2048006 30.2928209))",POINT (120.2047938 30.2927557),106.8,1149.3
,27,579229857,,yes,,,,"POLYGON ((120.2049239 30.2931417, 120.2048573 30.2931017, 120.2049152 30.2930342, 120.2049789 30.2930742, 120.2049239 30.2931417))",POINT (120.2049186 30.2930881),70.9,763.4
,28,579229859,,yes,,,,"POLYGON ((120.2051845 30.2928042, 120.2051208 30.2927692, 120.2051758 30.2927067, 120.2052366 30.2927392, 120.2051845 30.2928042))",POINT (120.2051792 30.2927551),61.5,662.5
,29,579229860,,yes,,,,"POLYGON ((120.205393 30.2925492, 120.2053438 30.2925142, 120.2054104 30.2924392, 120.205458 30.2924746, 120.205393 30.2925492))",POINT (120.2054012 30.2924944),63.3,680.9
,30,579234527,,yes,,,,"POLYGON ((120.2047404 30.2951305, 120.204658 30.2950859, 120.2047253 30.294981, 120.2048233 30.2949859, 120.2047404 30.2951305))",POINT (120.2047385 30.2950473),139.7,1503.8
,31,579234528,,,,pitch,,"POLYGON ((120.2049505 30.2952505, 120.2047561 30.2951468, 120.2049088 30.2949147, 120.2051097 30.2950078, 120.2049505 30.2952505))",POINT (120.204932 30.2950803),663.5,7142
,32,579237512,,yes,,,,"POLYGON ((120.2070566 30.2991934, 120.2068354 30.2989658, 120.2068263 30.2989423, 120.2068294 30.2989187, 120.2068475 30.2989004, 120.2074534 30.2984453, 120.2074898 30.2984348, 120.2075231 30.2984427, 120.2075443 30.2984531, 120.2078746 30.2988036, 120.2078897 30.2988403, 120.2078897 30.2988716, 120.2078715 30.2989056, 120.2078503 30.298937, 120.2075231 30.29906, 120.2074504 30.298992, 120.2076352 30.298869, 120.2074595 30.2986859, 120.2070778 30.2989527, 120.2071202 30.2990024, 120.2071475 30.2989867, 120.2072777 30.2991044, 120.2072717 30.2991384, 120.207099 30.2992091, 120.2070566 30.2991934))",POINT (120.207366 30.2988174),3520.5,37894.3
,33,579237513,,yes,,,,"POLYGON ((120.2075965 30.2976184, 120.2072303 30.2974246, 120.2073546 30.2972545, 120.2077277 30.2974395, 120.2075965 30.2976184))",POINT (120.2074789 30.297435),945.2,10173.5
,34,579237514,,yes,,,,"POLYGON ((120.2077416 30.2972814, 120.2074341 30.2971293, 120.207555 30.2969592, 120.2078625 30.2971084, 120.2077416 30.2972814))",POINT (120.2076486 30.2971198),756.2,8139.5
,35,579237515,,yes,,,,"POLYGON ((120.208457 30.2982956, 120.2083238 30.2982053, 120.2083847 30.298138, 120.2087329 30.2977535, 120.2085156 30.2975799, 120.2084808 30.2975522, 120.208595 30.2974167, 120.2090279 30.2977206, 120.208457 30.2982956))",POINT (120.2086762 30.2978384),2179.1,23455.4
,36,579237516,,yes,,,,"POLYGON ((120.2083847 30.298138, 120.2081478 30.2979876, 120.2085156 30.2975799, 120.2087329 30.2977535, 120.2083847 30.298138))",POINT (120.2084443 30.2978639),1576.5,16969.3
,37,579237517,,yes,,,,"POLYGON ((120.2089379 30.2984342, 120.208837 30.2982891, 120.2092615 30.2980314, 120.2093497 30.2981729, 120.2089379 30.2984342))",POINT (120.2090944 30.2982329),899.9,9686.8
,38,579237518,,yes,,,,"POLYGON ((120.208807 30.2985805, 120.2086703 30.2985008, 120.2086512 30.2984789, 120.2086639 30.2984514, 120.2091696 30.2979022, 120.2092109 30.2978802, 120.2092364 30.2978885, 120.2093732 30.2979846, 120.2093954 30.2980367, 120.2094431 30.2981603, 120.2094081 30.2981933, 120.208807 30.2985805))",POINT (120.2090703 30.298231),2534.8,27284.8
杭州东 6站台,39,584323387,,,,,platform,"POLYGON ((120.2089213 30.2914176, 120.2088784 30.2913915, 120.2061168 30.2947056, 120.2061556 30.2947289, 120.2089213 30.2914176))",POINT (120.2075421 30.293032),2169.4,23351.6
杭州东 9站台,40,584323388,,,,,platform,"POLYGON ((120.2063281 30.2948328, 120.2063658 30.2948557, 120.2091341 30.2915492, 120.209089 30.2915218, 120.2063281 30.2948328))",POINT (120.2077704 30.2931406),2200.6,23687.2
杭州东 11站台,41,584323389,,,,,platform,"POLYGON ((120.2065083 30.2949425, 120.2092816 30.2916396, 120.2093224 30.2916647, 120.2065445 30.2949652, 120.2065083 30.2949425))",POINT (120.2079403 30.2932719),2061.4,22189.2
杭州东 13站台,42,584323390,,,,,platform,"POLYGON ((120.2066834 30.2950523, 120.2067177 30.2950738, 120.2094988 30.2917742, 120.20946 30.2917502, 120.2066834 30.2950523))",POINT (120.2081174 30.29338),1959.3,21089.5
杭州东 17站台,43,584323392,,,,,platform,"POLYGON ((120.2070544 30.2952829, 120.2070996 30.295312, 120.2098682 30.2920071, 120.2098279 30.2919819, 120.2070544 30.2952829))",POINT (120.2084337 30.2936803),2306.3,24825.3
杭州东 18站台,44,584323393,,,,,platform,"POLYGON ((120.210005 30.2920941, 120.2072419 30.2954007, 120.207202 30.2953753, 120.2099667 30.2920692, 120.210005 30.2920941))",POINT (120.2085962 30.2937441),2118.3,22801.4
杭州东 21站台,45,584323395,,,,,platform,"POLYGON ((120.207411 30.295506, 120.20745 30.2955306, 120.210223 30.2922338, 120.210187 30.2922116, 120.207411 30.295506))",POINT (120.2087975 30.2938946),2008.8,21622
杭州东 23站台,46,584323396,,,,,platform,"POLYGON ((120.2103695 30.292329, 120.2104061 30.2923519, 120.2076411 30.2956525, 120.2075968 30.2956238, 120.2103695 30.292329))",POINT (120.2089567 30.2940449),2182.7,23493.9
杭州东 24站台,47,584323397,,,,,platform,"POLYGON ((120.2077698 30.2957345, 120.2105446 30.2924415, 120.2105082 30.2924182, 120.2077307 30.2957099, 120.2077698 30.2957345))",POINT (120.2091232 30.294094),2032.9,21881.9
杭州东 27站台,48,584323398,,,,,platform,"POLYGON ((120.2076732 30.2961855, 120.2110248 30.2921778, 120.2110456 30.2921887, 120.210928 30.2923616, 120.2078103 30.296084, 120.2076945 30.2961976, 120.2076732 30.2961855))",POINT (120.2093866 30.294169),2294.4,24696.5
杭州东 28站台,49,584323399,,,,,platform,"POLYGON ((120.2080968 30.2962458, 120.2112006 30.2925398, 120.2113292 30.2923635, 120.2112503 30.2923055, 120.2111229 30.2924867, 120.20803 30.2961995, 120.2079097 30.296331, 120.2079763 30.2963724, 120.2080968 30.2962458))",POINT (120.2096729 30.2942948),4869.6,52416.3
杭州东 1站台,50,584323400,,,,,platform,"POLYGON ((120.2084261 30.2911132, 120.2083537 30.2910681, 120.2055818 30.294373, 120.2056604 30.2944269, 120.2084261 30.2911132))",POINT (120.2069787 30.2927773),4122.9,44379
杭州采荷中学教育集团(濮家校区),51,591116468,,,school,,,"POLYGON ((120.2003773 30.2867522, 120.200451 30.2854852, 120.2024069 30.2857696, 120.202359 30.2868634, 120.2003773 30.2867522))",POINT (120.2013742 30.286216),24894.4,267960.5
,52,591116475,,,,park,,"POLYGON ((120.1997285 30.2879699, 120.1999301 30.2879645, 120.2000309 30.2878937, 120.2000939 30.287736, 120.2000939 30.2876326, 120.2001187 30.2875224, 120.2000309 30.2874368, 120.1999553 30.2873932, 120.1997348 30.2873606, 120.199571 30.2873987, 120.1995269 30.287464, 120.199508 30.2875564, 120.1994891 30.287687, 120.1994891 30.2877904, 120.1995332 30.2878611, 120.1995962 30.2878992, 120.1997285 30.2879699))",POINT (120.1997955 30.2876627),3310.1,35629.7
,53,611272059,,yes,,,,"POLYGON ((120.2137094 30.290306, 120.2141973 30.2892458, 120.2145644 30.2893658, 120.214799 30.2894424, 120.2147177 30.2900181, 120.2146282 30.290306, 120.2145063 30.2904324, 120.2141549 30.2903766, 120.2137094 30.290306))",POINT (120.2143147 30.2898843),8906.1,95864.2
,54,611272060,,yes,,,,"POLYGON ((120.2150358 30.2888604, 120.2149308 30.2890846, 120.2148557 30.2891124, 120.2146768 30.2890499, 120.2143211 30.2889209, 120.2144339 30.2886502, 120.2150358 30.2888604))",POINT (120.2146741 30.2888892),1974.8,21256.1
,55,611272061,,yes,,,,"POLYGON ((120.2142866 30.2912777, 120.2143188 30.2911851, 120.2142973 30.2910832, 120.213836 30.2909071, 120.2137434 30.2910965, 120.2142866 30.2912777))",POINT (120.2140419 30.291094),1153.8,12419
,56,611272062,,yes,,,,"POLYGON ((120.2141973 30.2892458, 120.2143211 30.2889209, 120.2146768 30.2890499, 120.2145644 30.2893658, 120.2141973 30.2892458))",POINT (120.2144386 30.2891458),1390.6,14968.7
,57,611272063,,yes,,,,"POLYGON ((120.2137094 30.290306, 120.2134314 30.2910004, 120.2137434 30.2910965, 120.213836 30.2909071, 120.2139311 30.2906617, 120.2140478 30.2906133, 120.2141549 30.2903766, 120.2137094 30.290306))",POINT (120.2137684 30.2906726),3071.7,33063
,58,611272064,,apartments,,,,"POLYGON ((120.2179527 30.2930739, 120.2180946 30.2926611, 120.2184053 30.2927408, 120.2182634 30.2931535, 120.2179527 30.2930739))",POINT (120.218179 30.2929073),1487,16005.9
,59,611272065,,apartments,,,,"POLYGON ((120.2184629 30.293178, 120.2186047 30.2927653, 120.2189154 30.2928449, 120.2187735 30.2932577, 120.2184629 30.293178))",POINT (120.2186891 30.2930115),1486.7,16003.1
,60,611272066,,apartments,,,,"POLYGON ((120.2190113 30.2933004, 120.2191532 30.2928877, 120.2194638 30.2929673, 120.2193219 30.29338, 120.2190113 30.2933004))",POINT (120.2192375 30.2931339),1486.3,15998.5
,61,611272067,,apartments,,,,"POLYGON ((120.2196152 30.2934228, 120.2197571 30.2930101, 120.2200677 30.2930897, 120.2199258 30.2935024, 120.2196152 30.2934228))",POINT (120.2198415 30.2932563),1486.3,15998.5
,62,611272077,,yes,,,,"POLYGON ((120.2132809 30.2996704, 120.2134437 30.2996581, 120.2139109 30.299102, 120.2139392 30.2989859, 120.2138896 30.2989125, 120.2137198 30.2988331, 120.2136348 30.2988453, 120.2134791 30.2989859, 120.2135074 30.2991692, 120.2135145 30.2992426, 120.2133941 30.299377, 120.2132597 30.2993892, 120.2131747 30.2993526, 120.2131606 30.2992548, 120.2130261 30.2991876, 120.2129341 30.2991876, 120.212835 30.2991692, 120.2127075 30.2992792, 120.2132809 30.2996704))",POINT (120.2134111 30.2992753),4218.5,45408
,63,611272078,,yes,,,,"POLYGON ((120.2139109 30.299102, 120.214102 30.298847, 120.2141144 30.2987672, 120.2140805 30.2987113, 120.2140158 30.2986634, 120.2139172 30.2986421, 120.2138247 30.2986528, 120.2137539 30.298674, 120.2136348 30.2988453, 120.2137198 30.2988331, 120.2138896 30.2989125, 120.2139392 30.2989859, 120.2139109 30.299102))",POINT (120.2139115 30.2988016),1087.7,11708
,64,611272079,,yes,,,,"POLYGON ((120.2129528 30.2990146, 120.2133256 30.298964, 120.2134519 30.2988177, 120.213415 30.2984559, 120.2132116 30.2983229, 120.2127495 30.2989002, 120.2129528 30.2990146))",POINT (120.2131582 30.2987221),3097.2,33337.8
杭州市笕桥花园小学,65,611613233,,,school,,,"POLYGON ((120.2144271 30.3033574, 120.2147964 30.3035971, 120.2148733 30.3036608, 120.2148852 30.3037595, 120.2142067 30.3048529, 120.2141261 30.3049091, 120.2140129 30.3049021, 120.2133597 30.3047266, 120.2129234 30.3046634, 120.213514 30.3037511, 120.2136063 30.3036085, 120.2141022 30.303863, 120.2144271 30.3033574))",POINT (120.2139599 30.3042019),17115.2,184226.2
浙江师范大学附属杭州笕文实验学校,66,611795116,,,school,,,"POLYGON ((120.2082683 30.3054972, 120.2082309 30.305531, 120.2082006 30.3055583, 120.2081453 30.3055556, 120.2060684 30.3041081, 120.2060233 30.3040501, 120.2060089 30.3039922, 120.2060418 30.3039349, 120.2066882 30.3033955, 120.207236 30.3029387, 120.2073132 30.3029068, 120.2074134 30.3029068, 120.2075012 30.3029547, 120.2081137 30.303402, 120.2084179 30.3035699, 120.2090837 30.3039091, 120.2091245 30.3039568, 120.2091071 30.3040468, 120.2082683 30.3054972))",POINT (120.2076423 30.3041598),46508.2,500609.4
,67,613989588,,yes,,,,"POLYGON ((120.2048815 30.2874786, 120.2046693 30.2871121, 120.2046168 30.2871292, 120.2045354 30.2869773, 120.204441 30.2870139, 120.2042879 30.2867383, 120.2051671 30.2863222, 120.2056327 30.2871573, 120.2048815 30.2874786))",POINT (120.2049879 30.2869048),8812.9,94861.3
,68,613989591,,yes,,,,"POLYGON ((120.2048176 30.2875012, 120.2046414 30.2871728, 120.2043708 30.2870392, 120.2042333 30.2868203, 120.2039647 30.2869428, 120.2044073 30.2876811, 120.2048176 30.2875012))",POINT (120.2043913 30.2872654),3559.7,38316
,69,613989593,,yes,,,,"POLYGON ((120.2041946 30.287532, 120.2039922 30.2876044, 120.2032248 30.2874638, 120.2031804 30.2873615, 120.2039577 30.2870802, 120.2041946 30.287532))",POINT (120.203742 30.2873745),3186.5,34299
,70,613989595,,yes,,,,"POLYGON ((120.2038813 30.2870696, 120.2038149 30.2869233, 120.2033271 30.2870886, 120.2032488 30.2869163, 120.2030792 30.2869737, 120.2032239 30.2872923, 120.2038813 30.2870696))",POINT (120.2034457 30.2870899),1541.7,16595
,71,613989597,,yes,,,,"POLYGON ((120.2040744 30.2868094, 120.2037909 30.2867723, 120.2037393 30.2867055, 120.2037995 30.2865385, 120.2041131 30.2866053, 120.2042162 30.2863011, 120.2047146 30.2855554, 120.2048134 30.2856259, 120.2044053 30.2862825, 120.2042334 30.2867129, 120.2040744 30.2868094))",POINT (120.2042733 30.2863199),2801.8,30157.8
,72,613989599,,yes,,,,"POLYGON ((120.2085966 30.2863543, 120.2084162 30.2862912, 120.2084849 30.2861502, 120.2078791 30.2859202, 120.2079607 30.2857829, 120.2085494 30.2860204, 120.2088029 30.286013, 120.2085966 30.2863543))",POINT (120.2083766 30.2860515),1790.9,19277.1
,73,614069988,,apartments,,,,"POLYGON ((120.2136598 30.283372, 120.2137033 30.2832327, 120.2143042 30.2833725, 120.2142607 30.2835118, 120.2136598 30.283372))",POINT (120.213982 30.2833723),956.9,10299.7
,74,614069990,,apartments,,,,"POLYGON ((120.2126559 30.2829442, 120.2127265 30.2828086, 120.2134699 30.283097, 120.2133994 30.2832326, 120.2126559 30.2829442))",POINT (120.2130629 30.2830206),1291.2,13898.4
笕桥实验中学,75,614077614,,,school,,,"POLYGON ((120.198979 30.2968053, 120.1980704 30.2961775, 120.1976345 30.2958807, 120.1976345 30.295751, 120.1982836 30.2949636, 120.1983641 30.2949636, 120.1988646 30.2953388, 120.1990455 30.2954603, 120.1997194 30.2959734, 120.198979 30.2968053))",POINT (120.1986438 30.295878),21016.6,226220.8
,76,614077615,,,,pitch,,"POLYGON ((120.1980704 30.2961775, 120.1976345 30.2958807, 120.1976345 30.295751, 120.1982836 30.2949636, 120.1983641 30.2949636, 120.1988646 30.2953388, 120.198448 30.295801, 120.1980704 30.2961775))",POINT (120.1982169 30.2955615),8043.9,86583.2
,77,614077616,,school,,,,"POLYGON ((120.1981991 30.2961551, 120.198389 30.2959261, 120.1987539 30.2961518, 120.198564 30.2963808, 120.1981991 30.2961551))",POINT (120.1984765 30.2961534),1347.1,14500.4
,78,614077617,,school,,,,"POLYGON ((120.1990647 30.2966637, 120.1986248 30.2963784, 120.1987321 30.2962475, 120.1988047 30.2962954, 120.199175 30.2965395, 120.1990647 30.2966637))",POINT (120.1988984 30.2964566),934.5,10058.7
,79,614077618,,school,,,,"POLYGON ((120.1993129 30.2963888, 120.1994125 30.296285, 120.1990304 30.2960121, 120.1989616 30.295969, 120.1988712 30.2960768, 120.1989433 30.2961261, 120.1993129 30.2963888))",POINT (120.1991406 30.2961787),829.5,8928.3
,80,614077619,,school,,,,"POLYGON ((120.1995211 30.2959756, 120.1995887 30.2959029, 120.1992358 30.2956581, 120.1991682 30.2957308, 120.1992424 30.2957823, 120.1995211 30.2959756))",POINT (120.1993784 30.2958169),449.8,4841.3
,81,614077620,,school,,,,"POLYGON ((120.1987321 30.2962475, 120.1988712 30.2960768, 120.1989433 30.2961261, 120.1988047 30.2962954, 120.1987321 30.2962475))",POINT (120.1988379 30.2961863),203,2184.7
,82,614077621,,school,,,,"POLYGON ((120.1989616 30.295969, 120.1990304 30.2960121, 120.1992424 30.2957823, 120.1991682 30.2957308, 120.1989616 30.295969))",POINT (120.1991026 30.2958713),283.8,3054.5
,83,614077622,,,,pitch,,"POLYGON ((120.198448 30.295801, 120.1986289 30.2959226, 120.1990455 30.2954603, 120.1988646 30.2953388, 120.198448 30.295801))",POINT (120.1987467 30.2956307),1430.6,15399.3
,84,614077624,,,,pitch,,"POLYGON ((120.1989785 30.3006932, 120.1988739 30.300721, 120.1987586 30.3007025, 120.1986835 30.3006538, 120.1986432 30.3005959, 120.1986298 30.3005334, 120.1985977 30.3005635, 120.1985413 30.3005218, 120.1990885 30.2999244, 120.1991448 30.2999498, 120.1990992 30.3000147, 120.1992011 30.30001, 120.199295 30.3000216, 120.1993648 30.3000841, 120.1993969 30.3001721, 120.1993782 30.3002694, 120.199211 30.3004467, 120.1989785 30.3006932))",POINT (120.1989965 30.3003477),3777.6,40662.2
,85,614077625,,,,sports_centre,,"POLYGON ((120.199211 30.3004467, 120.1993782 30.3002694, 120.1994425 30.3002023, 120.1996598 30.3003574, 120.1994265 30.3005936, 120.199211 30.3004467))",POINT (120.1994351 30.3003991),929,9999.4
,86,614077626,,school,,,,"POLYGON ((120.1991771 30.2998952, 120.1992611 30.2998065, 120.1993545 30.299873, 120.1999103 30.2998569, 120.1999103 30.2997601, 120.1997445 30.2996432, 120.1996651 30.299617, 120.1994666 30.299617, 120.1994689 30.2995122, 120.1997632 30.2995162, 120.2000177 30.2997017, 120.2001087 30.2998004, 120.2001134 30.2998811, 120.200083 30.2999537, 120.1999686 30.3000041, 120.1998285 30.3000242, 120.199588 30.3000262, 120.1993755 30.29999, 120.1991771 30.2998952))",POINT (120.1997245 30.299823),2216.8,23861.3
,87,614077627,,yes,,,,"POLYGON ((120.2000092 30.3015142, 120.1994085 30.3011175, 120.1995426 30.3009661, 120.2000188 30.3012806, 120.2002504 30.3010192, 120.200375 30.3011014, 120.2000092 30.3015142))",POINT (120.1998869 30.3012272),2085.8,22450.9
